id,step_name,ui_version,original_by,original_value,healed_by,healed_value,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,healing_success,action,healed_at,is_correct
31,search_input,v5,css selector,[data-testid="search-input"],xpath,//input[@placeholder='Tìm ki?m s?n ph?m (Vi?t dúng chính t?...)'],0.64,1,0.7286,0.673,0.615,0.7836,1,AUTO_FIX,5/30/2026 12:34,1
32,filter_iphone_button,v5,css selector,[data-testid="btn-filter-iphone"],xpath,//button[normalize-space(text())='IPHONE'],0.93,1,0.88,0.6656,0.365,0.9391,1,AUTO_FIX,5/30/2026 12:35,1
33,filter_ipad_button,v5,css selector,[data-testid="btn-filter-ipad"],xpath,//button[normalize-space(text())='IPAD'],0.93,1,0.88,0.6652,0.365,0.9391,1,AUTO_FIX,5/30/2026 12:35,1
34,filter_macbook_button,v5,css selector,[data-testid="btn-filter-macbook"],xpath,//button[normalize-space(text())='MACBOOK'],0.93,1,0.88,0.6645,0.365,0.9391,1,AUTO_FIX,5/30/2026 12:36,1
35,filter_airpods_button,v5,css selector,[data-testid="btn-filter-airpods"],xpath,//button[normalize-space(text())='AIRPODS'],0.93,1,0.88,0.6638,0.365,0.9391,1,AUTO_FIX,5/30/2026 12:37,1
36,filter_T?t c?_button,v5,css selector,[data-testid="btn-filter-all"],xpath,//button[normalize-space(text())='T?T C?'],0.93,1,0.88,0.6662,0.615,0.9391,1,AUTO_FIX,5/30/2026 12:37,1
37,email_field,v6,css selector,[data-testid="login-email"],xpath,//input[@data-testid='v6-login-email'],0.2708,1,0.7882,0.7524,0.365,0.6563,1,SUGGEST,5/30/2026 12:38,1
38,password_field,v6,css selector,[data-testid="login-password"],xpath,//input[@data-testid='v6-login-password'],0.3832,1,0.7612,0.7396,0.365,0.6926,1,SUGGEST,5/30/2026 12:38,1
39,login_button,v6,css selector,[data-testid="btn-login"],xpath,//button[@data-testid='v6-btn-login'],0.6925,0.6891,0.931,0.7298,0.365,0.7582,1,AUTO_FIX,5/30/2026 12:38,1
40,search_input,v6,css selector,[data-testid="search-input"],xpath,//input[@data-testid='v6-prod-search'],0.3523,1,0.6832,0.7545,0.615,0.6587,1,SUGGEST,5/30/2026 12:38,1
41,filter_iphone_button,v6,css selector,[data-testid="btn-filter-iphone"],xpath,//button[@data-testid='v6-prod-filter-iphone'],0.9016,1,0.88,0.7471,0.365,0.928,1,AUTO_FIX,5/30/2026 12:38,1
42,filter_ipad_button,v6,css selector,[data-testid="btn-filter-ipad"],xpath,//button[@data-testid='v6-prod-filter-ipad'],0.8994,1,0.88,0.7457,0.365,0.9272,1,AUTO_FIX,5/30/2026 12:39,1
43,filter_macbook_button,v6,css selector,[data-testid="btn-filter-macbook"],xpath,//button[@data-testid='v6-prod-filter-macbook'],0.9025,1,0.88,0.7443,0.365,0.9284,1,AUTO_FIX,5/30/2026 12:40,1
44,filter_airpods_button,v6,css selector,[data-testid="btn-filter-airpods"],xpath,//button[@data-testid='v6-prod-filter-airpods'],0.9025,1,0.88,0.742,0.365,0.9284,1,AUTO_FIX,5/30/2026 12:40,1
45,filter_T?t c?_button,v6,css selector,[data-testid="btn-filter-all"],xpath,//button[@data-testid='v6-prod-filter-all'],0.8981,1,0.88,0.7481,0.615,0.9267,1,AUTO_FIX,5/30/2026 12:41,1
46,email_field,v7,css selector,[data-testid="login-email"],xpath,//input[@placeholder='yourname@domain.com'],0.33,1,0.867,0.6398,0.365,0.7015,1,AUTO_FIX,5/30/2026 12:41,1
47,password_field,v7,css selector,[data-testid="login-password"],xpath,//input[@placeholder='Nh?p m?t kh?u c?a b?n'],0.33,1,0.8718,0.7286,0.365,0.7028,1,AUTO_FIX,5/30/2026 12:41,1
48,login_button,v7,css selector,[data-testid="btn-login"],id,submit-access,0.42,0.74,0.6949,0.681,0.615,0.6026,1,SUGGEST,5/30/2026 12:41,1
49,search_input,v7,css selector,[data-testid="search-input"],xpath,//input[@data-testid='product-search'],0.9623,1,0.8757,0.7037,0.615,0.9505,1,AUTO_FIX,5/30/2026 12:41,1
50,filter_iphone_button,v7,css selector,[data-testid="btn-filter-iphone"],xpath,//button[@data-testid='category-iphone'],0.8271,1,0.8751,0.6845,0.365,0.8976,1,AUTO_FIX,5/30/2026 12:42,1
51,filter_ipad_button,v7,css selector,[data-testid="btn-filter-ipad"],xpath,//button[@data-testid='category-ipad'],0.8233,1,0.8751,0.6835,0.365,0.8961,1,AUTO_FIX,5/30/2026 12:42,1
52,filter_macbook_button,v7,css selector,[data-testid="btn-filter-macbook"],xpath,//button[@data-testid='category-macbook'],0.8286,1,0.8751,0.6812,0.365,0.8982,1,AUTO_FIX,5/30/2026 12:43,1
53,filter_airpods_button,v7,css selector,[data-testid="btn-filter-airpods"],xpath,//button[@data-testid='category-airpods'],0.8286,1,0.8751,0.6775,0.365,0.8982,1,AUTO_FIX,5/30/2026 12:44,1
54,filter_T?t c?_button,v7,css selector,[data-testid="btn-filter-all"],xpath,//button[@data-testid='category-all'],0.8797,1,0.8751,0.6843,0.615,0.9181,1,AUTO_FIX,5/30/2026 12:44,1
55,email_field,v8,css selector,[data-testid="login-email"],xpath,//input[@data-testid='login-email_v8'],0.4916,0.87,0.7849,0.7488,0.365,0.6986,1,SUGGEST,5/30/2026 12:45,1
56,password_field,v8,css selector,[data-testid="login-password"],xpath,//input[@data-testid='login-password_v8'],0.4666,0.87,0.769,0.744,0.365,0.6844,1,SUGGEST,5/30/2026 12:45,1
57,login_button,v8,css selector,[data-testid="btn-login"],xpath,//button[@data-testid='btn-login_v8'],0.7233,1,0.9811,0.7419,0.365,0.8868,1,AUTO_FIX,5/30/2026 12:45,1
58,search_input,v8,css selector,[data-testid="search-input"],name,search,0.315,1,0.6868,0.7545,0.615,0.6452,1,SUGGEST,5/30/2026 12:45,1
59,filter_iphone_button,v8,css selector,[data-testid="btn-filter-iphone"],id,filter-btn-iphone,0.64,1,0.5741,0.7471,0.365,0.7403,1,AUTO_FIX,5/30/2026 12:45,1
60,filter_ipad_button,v8,css selector,[data-testid="btn-filter-ipad"],id,filter-btn-ipad,0.64,1,0.5756,0.7457,0.365,0.7408,1,AUTO_FIX,5/30/2026 12:46,1
61,filter_macbook_button,v8,css selector,[data-testid="btn-filter-macbook"],id,filter-btn-macbook,0.64,1,0.5733,0.7443,0.365,0.7401,1,AUTO_FIX,5/30/2026 12:47,1
62,filter_airpods_button,v8,css selector,[data-testid="btn-filter-airpods"],id,filter-btn-airpods,0.64,1,0.5733,0.742,0.365,0.7401,1,AUTO_FIX,5/30/2026 12:47,1
63,filter_T?t c?_button,v8,css selector,[data-testid="btn-filter-all"],xpath,//button[normalize-space(text())='Ðang xu?t'],0.7467,0.7213,0.7627,0.5404,0.365,0.7428,1,AUTO_FIX,5/30/2026 12:48,0
64,email_field,v9,css selector,[data-testid="login-email"],xpath,//input[@data-testid='v9-email-input'],0.5136,0.87,0.757,0.7477,0.615,0.6994,1,SUGGEST,5/30/2026 12:48,1
65,password_field,v9,css selector,[data-testid="login-password"],xpath,//input[@data-testid='v9-password-input'],0.704,0.87,0.8252,0.736,0.365,0.7927,1,AUTO_FIX,5/30/2026 12:48,1
66,login_button,v9,css selector,[data-testid="btn-login"],xpath,//button[@data-testid='v9-submit-login'],0.6427,0.8733,0.4542,0.7272,0.615,0.666,1,SUGGEST,5/30/2026 12:48,1
67,search_input,v9,css selector,[data-testid="search-input"],xpath,//input[@data-testid='v9-search'],0.9045,1,0.8511,0.7545,0.615,0.9211,1,AUTO_FIX,5/30/2026 12:48,1
68,filter_iphone_button,v9,css selector,[data-testid="btn-filter-iphone"],xpath,//button[@data-testid='v9-filter-iphone'],0.9894,1,0.88,0.7471,0.365,0.9623,1,AUTO_FIX,5/30/2026 12:49,1
69,filter_ipad_button,v9,css selector,[data-testid="btn-filter-ipad"],xpath,//button[@data-testid='v9-filter-ipad'],0.9879,1,0.88,0.7457,0.365,0.9617,1,AUTO_FIX,5/30/2026 12:49,1
70,filter_macbook_button,v9,css selector,[data-testid="btn-filter-macbook"],xpath,//button[@data-testid='v9-filter-macbook'],0.99,1,0.88,0.7443,0.365,0.9625,1,AUTO_FIX,5/30/2026 12:50,1
71,filter_airpods_button,v9,css selector,[data-testid="btn-filter-airpods"],xpath,//button[@data-testid='v9-filter-airpods'],0.99,1,0.88,0.742,0.365,0.9625,1,AUTO_FIX,5/30/2026 12:51,1
72,filter_T?t c?_button,v9,css selector,[data-testid="btn-filter-all"],xpath,//button[@data-testid='v9-filter-all'],0.987,1,0.88,0.7481,0.615,0.9613,1,AUTO_FIX,5/30/2026 12:51,1
73,email_field,v10,css selector,[data-testid="login-email"],xpath,//input[@aria-label='Tài kho?n email dang nh?p'],0.2242,0.87,0.6075,0.7004,0.365,0.5446,1,SUGGEST,5/30/2026 12:52,1
74,password_field,v10,css selector,[data-testid="login-password"],xpath,//input[@aria-label='M?t kh?u dang nh?p'],0.27,0.87,0.6049,0.6634,0.365,0.5618,1,SUGGEST,5/30/2026 12:52,1
75,login_button,v10,css selector,[data-testid="btn-login"],xpath,//button[@aria-label='Xác nh?n và dang nh?p'],0.4657,0.6545,0.493,0.6404,0.615,0.5356,1,SUGGEST,5/30/2026 12:52,1
76,search_input,v10,css selector,[data-testid="search-input"],xpath,//input[@placeholder='Tìm ki?m s?n ph?m (Vi?t dúng chính t?...)'],0.93,1,0.88,0.7545,0.615,0.9391,1,AUTO_FIX,5/30/2026 12:52,1
77,filter_iphone_button,v10,css selector,[data-testid="btn-filter-iphone"],xpath,//button[normalize-space(text())='IPHONE'],0.93,1,0.8023,0.6749,0.615,0.9173,1,AUTO_FIX,5/30/2026 12:52,1
78,filter_ipad_button,v10,css selector,[data-testid="btn-filter-ipad"],xpath,//button[normalize-space(text())='IPAD'],0.93,1,0.7898,0.6999,0.615,0.9138,1,AUTO_FIX,5/30/2026 12:53,1
79,filter_macbook_button,v10,css selector,[data-testid="btn-filter-macbook"],xpath,//button[normalize-space(text())='MACBOOK'],0.93,1,0.7773,0.697,0.615,0.9103,1,AUTO_FIX,5/30/2026 12:54,1
80,filter_airpods_button,v10,css selector,[data-testid="btn-filter-airpods"],xpath,//button[normalize-space(text())='AIRPODS'],0.93,1,0.7648,0.742,0.615,0.9068,1,AUTO_FIX,5/30/2026 12:54,1
81,filter_T?t c?_button,v10,css selector,[data-testid="btn-filter-all"],xpath,//button[normalize-space(text())='T?T C?'],0.93,1,0.8193,0.7481,0.615,0.9221,1,AUTO_FIX,5/30/2026 12:55,1
82,email_field,v11,css selector,[data-testid="login-email"],xpath,//input[@data-testid='auth-field-email'],0.4396,0.87,0.8129,0.6616,0.365,0.6862,1,SUGGEST,5/30/2026 12:55,1
83,password_field,v11,css selector,[data-testid="login-password"],xpath,//input[@data-testid='auth-field-password'],0.6291,0.87,0.8151,0.6246,0.365,0.7607,1,AUTO_FIX,5/30/2026 12:55,1
84,login_button,v11,css selector,[data-testid="btn-login"],xpath,//button[@data-testid='auth-submit-btn'],0.6135,1,0.81,0.6032,0.365,0.7961,1,AUTO_FIX,5/30/2026 12:55,1
85,search_input,v11,css selector,[data-testid="search-input"],xpath,//input[@placeholder='Nh?p tên s?n ph?m c?n tìm...'],0.855,1,0.88,0.7355,0.615,0.9099,1,AUTO_FIX,5/30/2026 12:55,1
86,filter_iphone_button,v11,css selector,[data-testid="btn-filter-iphone"],xpath,//button[normalize-space(text())='IPHONE'],0.842,1,0.88,0.7287,0.365,0.9048,1,AUTO_FIX,5/30/2026 12:56,1
87,filter_ipad_button,v11,css selector,[data-testid="btn-filter-ipad"],xpath,//button[normalize-space(text())='IPAD'],0.842,1,0.88,0.7277,0.365,0.9048,1,AUTO_FIX,5/30/2026 12:57,1
88,filter_macbook_button,v11,css selector,[data-testid="btn-filter-macbook"],xpath,//button[normalize-space(text())='MACBOOK'],0.842,1,0.88,0.7263,0.365,0.9048,1,AUTO_FIX,5/30/2026 12:57,1
89,filter_airpods_button,v11,css selector,[data-testid="btn-filter-airpods"],xpath,//button[normalize-space(text())='AIRPODS'],0.842,1,0.88,0.7248,0.365,0.9048,1,AUTO_FIX,5/30/2026 12:58,1
90,filter_T?t c?_button,v11,css selector,[data-testid="btn-filter-all"],xpath,//button[normalize-space(text())='T?T C?'],0.93,1,0.88,0.7294,0.615,0.9391,1,AUTO_FIX,5/30/2026 12:58,1
91,contact_name_field,v2,css selector,[data-testid="contact-name"],xpath,//input[@placeholder='H? và tên d?y d?'],0.8737,1,0.88,0.7512,0.365,0.9171,1,AUTO_FIX,5/30/2026 13:03,1
92,contact_phone_field,v2,css selector,[data-testid="contact-phone"],xpath,//input[@placeholder='S? di?n tho?i d? chúng tôi liên l?c'],0.8625,1,0.88,0.738,0.365,0.9128,1,AUTO_FIX,5/30/2026 13:03,1
93,contact_mess_field,v2,css selector,[data-testid="contact-mess"],xpath,//input[@placeholder='Mô t? v?n d? b?n c?n du?c h? tr?'],0.845,1,0.88,0.7245,0.365,0.906,1,AUTO_FIX,5/30/2026 13:03,1
94,contact_submit_button,v2,css selector,[data-testid="btn-contact-submit"],xpath,//button[normalize-space(text())='G?i yêu c?u'],0.93,0.5583,0.88,0.716,0.615,0.7933,1,AUTO_FIX,5/30/2026 13:03,1
95,contact_name_field,v3,css selector,[data-testid="contact-name"],xpath,//input[@data-testid='v3-ct-name'],0.9745,1,0.845,0.7512,0.615,0.9467,1,AUTO_FIX,5/30/2026 13:04,1
96,contact_phone_field,v3,css selector,[data-testid="contact-phone"],xpath,//input[@data-testid='v3-ct-phone'],0.9767,1,0.845,0.738,0.615,0.9475,1,AUTO_FIX,5/30/2026 13:04,1
97,contact_mess_field,v3,css selector,[data-testid="contact-mess"],xpath,//input[@data-testid='v3-ct-message'],0.9692,1,0.845,0.7245,0.615,0.9446,1,AUTO_FIX,5/30/2026 13:04,1
98,contact_submit_button,v3,css selector,[data-testid="btn-contact-submit"],xpath,//button[@data-testid='v3-ct-btn-submit'],0.9712,1,0.8545,0.6092,0.615,0.948,1,AUTO_FIX,5/30/2026 13:04,1
99,contact_name_field,v4,css selector,[data-testid="contact-name"],xpath,//input[@data-testid='v4-contact-name'],0.8822,1,0.8411,0.7146,0.365,0.9096,1,AUTO_FIX,5/30/2026 13:04,1
100,contact_phone_field,v4,css selector,[data-testid="contact-phone"],xpath,//input[@data-testid='v4-contact-phone'],0.8828,1,0.8411,0.7061,0.365,0.9098,1,AUTO_FIX,5/30/2026 13:04,1
101,contact_mess_field,v4,css selector,[data-testid="contact-mess"],xpath,//input[@data-testid='v4-contact-mess'],0.8822,1,0.8411,0.6848,0.365,0.9096,1,AUTO_FIX,5/30/2026 13:04,1
102,contact_submit_button,v4,css selector,[data-testid="btn-contact-submit"],xpath,//button[@data-testid='v4-btn-contact-submit'],0.806,1,0.725,0.6171,0.365,0.8473,1,AUTO_FIX,5/30/2026 13:04,1
103,contact_name_field,v5,css selector,[data-testid="contact-name"],xpath,//input[@placeholder='Nh?p h? và tên c?a b?n'],0.93,1,0.845,0.5985,0.365,0.9293,1,AUTO_FIX,5/30/2026 13:05,1
104,contact_phone_field,v5,css selector,[data-testid="contact-phone"],xpath,//input[@placeholder='Nh?p s? di?n tho?i (10 ch? s?)'],0.93,1,0.845,0.5555,0.365,0.9293,1,AUTO_FIX,5/30/2026 13:05,1
105,contact_mess_field,v5,css selector,[data-testid="contact-mess"],xpath,//input[@placeholder='Nh?p l?i nh?n c?a b?n (t?i da 500 ký t?)'],0.93,1,0.845,0.5257,0.365,0.9293,1,AUTO_FIX,5/30/2026 13:05,1
106,contact_submit_button,v5,css selector,[data-testid="btn-contact-submit"],xpath,//button[normalize-space(text())='G?i thông tin'],0.93,1,0.8545,0.5261,0.615,0.932,1,AUTO_FIX,5/30/2026 13:05,1
107,contact_name_field,v6,css selector,[data-testid="contact-name"],xpath,//input[@data-testid='v6-contact-name'],0.4997,1,0.7816,0.7512,0.365,0.7437,1,AUTO_FIX,5/30/2026 13:06,1
108,contact_phone_field,v6,css selector,[data-testid="contact-phone"],xpath,//input[@data-testid='v6-contact-phone'],0.4691,1,0.7816,0.738,0.365,0.7318,1,AUTO_FIX,5/30/2026 13:06,1
109,contact_mess_field,v6,css selector,[data-testid="contact-mess"],xpath,//input[@data-testid='v6-contact-mess'],0.4238,1,0.7693,0.7245,0.365,0.7107,1,AUTO_FIX,5/30/2026 13:06,1
110,contact_submit_button,v6,css selector,[data-testid="btn-contact-submit"],xpath,//button[@data-testid='v6-btn-contact-submit'],0.9146,0.8328,0.88,0.716,0.615,0.8779,1,AUTO_FIX,5/30/2026 13:06,1
111,contact_name_field,v7,css selector,[data-testid="contact-name"],xpath,//input[@data-testid='ctrl-contact-name'],0.9879,1,0.865,0.511,0.365,0.9575,1,AUTO_FIX,5/30/2026 13:07,1
112,contact_phone_field,v7,css selector,[data-testid="contact-phone"],xpath,//input[@data-testid='ctrl-contact-phone'],0.9887,1,0.865,0.5537,0.365,0.9578,1,AUTO_FIX,5/30/2026 13:07,1
113,contact_mess_field,v7,css selector,[data-testid="contact-mess"],xpath,//input[@data-testid='ctrl-contact-mess'],0.9879,1,0.865,0.5503,0.365,0.9575,1,AUTO_FIX,5/30/2026 13:07,1
114,contact_submit_button,v7,css selector,[data-testid="btn-contact-submit"],xpath,//button[@data-testid='submit-contact'],0.848,1,0.8344,0.5514,0.615,0.8944,1,AUTO_FIX,5/30/2026 13:07,1
115,contact_name_field,v8,css selector,[data-testid="contact-name"],xpath,//input[@data-testid='contact-name_v8'],0.6085,0.87,0.8079,0.7222,0.365,0.7506,1,AUTO_FIX,5/30/2026 13:07,1
116,contact_phone_field,v8,css selector,[data-testid="contact-phone"],xpath,//input[@data-testid='contact-phone_v8'],0.5753,0.87,0.8095,0.7085,0.365,0.7381,1,AUTO_FIX,5/30/2026 13:07,1
117,contact_mess_field,v8,css selector,[data-testid="contact-mess"],xpath,//input[@data-testid='contact-mess_v8'],0.5078,0.87,0.7964,0.6947,0.365,0.7081,1,AUTO_FIX,5/30/2026 13:07,1
118,contact_submit_button,v8,css selector,[data-testid="btn-contact-submit"],xpath,//button[normalize-space(text())='Ðang xu?t'],0.7414,0.7582,0.7516,0.4799,0.365,0.7498,1,AUTO_FIX,5/30/2026 13:07,0
119,contact_name_field,v9,css selector,[data-testid="contact-name"],xpath,//input[@data-testid='v9-contact-name'],0.7839,0.87,0.7933,0.6445,0.615,0.8149,1,AUTO_FIX,5/30/2026 13:08,1
120,contact_phone_field,v9,css selector,[data-testid="contact-phone"],xpath,//input[@data-testid='v9-contact-phone'],0.6866,0.87,0.7852,0.7252,0.615,0.7747,1,AUTO_FIX,5/30/2026 13:08,1
121,contact_submit_button,v9,css selector,[data-testid="btn-contact-submit"],xpath,//button[@data-testid='v9-contact-submit'],0.9167,0.7783,0.8545,0.5867,0.615,0.8536,1,AUTO_FIX,5/30/2026 13:08,1
122,contact_name_field,v10,css selector,[data-testid="contact-name"],xpath,//input[@aria-label='H? và tên'],0.3892,0.87,0.7585,0.6787,0.365,0.6513,1,SUGGEST,5/30/2026 13:09,1
123,contact_phone_field,v10,css selector,[data-testid="contact-phone"],xpath,//input[@aria-label='S? di?n tho?i'],0.3117,0.87,0.756,0.6407,0.365,0.6203,1,SUGGEST,5/30/2026 13:09,1
124,contact_submit_button,v10,css selector,[data-testid="btn-contact-submit"],xpath,//button[@aria-label='G?i tin nh?n liên h?'],0.7243,0.8227,0.8222,0.5247,0.615,0.7842,1,AUTO_FIX,5/30/2026 13:09,1
125,contact_name_field,v11,css selector,[data-testid="contact-name"],xpath,//input[@placeholder='H? và tên d?y d? c?a b?n'],0.8962,0.87,0.88,0.7333,0.365,0.883,1,AUTO_FIX,5/30/2026 13:09,1
126,contact_phone_field,v11,css selector,[data-testid="contact-phone"],xpath,//input[@placeholder='S? di?n tho?i (10 ch? s?)'],0.9171,0.87,0.88,0.7206,0.365,0.8912,1,AUTO_FIX,5/30/2026 13:10,1
127,contact_mess_field,v11,css selector,[data-testid="contact-mess"],xpath,//input[@placeholder='Mô t? chi ti?t v?n d? b?n c?n h? tr?'],0.8447,0.87,0.88,0.7058,0.365,0.8629,1,AUTO_FIX,5/30/2026 13:10,1
128,contact_submit_button,v11,css selector,[data-testid="btn-contact-submit"],xpath,//button[normalize-space(text())='G?i yêu c?u ngay'],0.7833,0.7772,0.844,0.6969,0.615,0.7983,1,AUTO_FIX,5/30/2026 13:10,1
129,register_email_field,v2,css selector,[data-testid="register-email"],xpath,//input[@placeholder='name@example.com'],0.93,1,0.88,0.7524,0.365,0.9391,1,AUTO_FIX,5/30/2026 13:12,1
130,register_password_field,v2,css selector,[data-testid="register-password"],xpath,//input[@placeholder='••••••••'],0.93,1,0.88,0.7396,0.365,0.9391,1,AUTO_FIX,5/30/2026 13:12,1
131,register_button,v2,css selector,[data-testid="btn-register"],xpath,//button[normalize-space(text())='Hoàn t?t dang ký'],0.93,0.6313,1,0.7298,0.365,0.851,1,AUTO_FIX,5/30/2026 13:12,1
132,register_email_field,v3,css selector,[data-testid="register-email"],xpath,//input[@data-testid='v3-reg-email'],0.9785,1,0.815,0.7524,0.615,0.9398,1,AUTO_FIX,5/30/2026 13:13,1
133,register_password_field,v3,css selector,[data-testid="register-password"],xpath,//input[@data-testid='v3-reg-password'],0.9825,1,0.815,0.7396,0.615,0.9414,1,AUTO_FIX,5/30/2026 13:13,1
134,register_button,v3,css selector,[data-testid="btn-register"],xpath,//button[@data-testid='v3-reg-btn-submit'],0.959,1,0.5973,0.7298,0.615,0.8713,1,AUTO_FIX,5/30/2026 13:13,1
